SearchName,DatFile,JobID,NumberOfSpectra,NumberOfSpectraOver25,Over25inPercent,Comment
20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA+AF8-deisotoped+AF8-fbdm+AF8-MascotDaemon.mgf+AF8-Fusion,F257527.dat,257527,34751,10419,29.98,
20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA+AF8-deisotoped+AF8-fbdm+AF8-MascotDaemon.mgf+AF8-Fusion,F257529.dat,257529,34433,10865,31.55,
20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA+AF8-deisotoped+AF8-fbdm+AF8-MascotDaemon.mgf+AF8-Fusion,F257530.dat,257530,34467,9814,28.47,
TP+AF8-HeLa+AF8-200ng+AF8-deisotoped+AF8-fbdm+AF8-MascotDaemon.mgf+AF8-Fusion,F257531.dat,257531,27583,16655,60.38,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA.mgf+AF8-Fusion,F257532.dat,257532,34335,10554,30.74,Original
20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA.mgf+AF8-Fusion,F257533.dat,257533,34751,9851,28.35,Original
20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA.mgf+AF8-Fusion,F257534.dat,257534,34433,10349,30.06,Original
20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA.mgf+AF8-Fusion,F257535.dat,257535,34467,9315,27.03,Original
20161010+AF8-04+AF8-TP+AF8-HeLa+AF8-200ng.mgf+AF8-Fusion,F257536.dat,257536,27583,16387,59.41,Original
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA+AF8-deisotoped+AF8-fbdm+AF8-MascotDaemon.mgf+AF8-Fusion,F257537.dat,257537,34335,11175,32.55,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA+AF8-deisotoped+AF8-mspy+AF8-MascotDaemon.mgf+AF8-Fusion,F257543.dat,257543,29421,7745,26.32,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA.mgf+AF8-Fusion,F257544.dat,257544,34335,11394,33.18,PD
20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA+AF8-deisotoped+AF8-mspy+AF8-MascotDaemon.mgf+AF8-Fusion,F257545.dat,257545,29286,7122,24.32,
20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA.mgf+AF8-Fusion,F257546.dat,257546,34751,10664,30.69,PD
20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA+AF8-deisotoped+AF8-mspy+AF8-MascotDaemon.mgf+AF8-Fusion,F257547.dat,257547,28799,7448,25.86,
20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA.mgf+AF8-Fusion,F257548.dat,257548,34433,11122,32.3,PD
20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA+AF8-deisotoped+AF8-mspy+AF8-MascotDaemon.mgf+AF8-Fusion,F257549.dat,257549,28150,6485,23.04,
20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA.mgf+AF8-Fusion,F257550.dat,257550,34467,10019,29.07,PD
TP+AF8-HeLa+AF8-200ng+AF8-deisotoped+AF8-mspy+AF8-MascotDaemon.mgf+AF8-Fusion,F257551.dat,257551,26988,11080,41.06,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA+AF8-msdeconv.mgf+AF8-Fusion,F257560.dat,257560,32559,8844,27.16,
20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA+AF8-msdeconv.mgf+AF8-Fusion,F257561.dat,257561,33001,8100,24.54,
20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA+AF8-msdeconv.mgf+AF8-Fusion,F257562.dat,257562,32775,8589,26.21,
20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA+AF8-msdeconv.mgf+AF8-Fusion,F257563.dat,257563,32923,7668,23.29,
TP+AF8-HeLa+AF8-200ng+AF8-withUpdatedScoreFunc.mgf+AF8-Fusion,F257662.dat,257662,27583,16715,60.6,
TP+AF8-HeLa+AF8-200ng+AF8-withUpdatedScoreFuncAndMod.mgf+AF8-Fusion,F257663.dat,257663,27583,16715,60.6,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-updatedScore.mgf+AF8-Fusion,F257664.dat,257664,34335,11315,32.95,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-updatedScore.mgf+AF8-Fusion,F257665.dat,257665,34335,11316,32.96,
20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-updatedScore.mgf+AF8-Fusion,F257666.dat,257666,34751,10523,30.28,
20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-updatedScore.mgf+AF8-Fusion,F257667.dat,257667,34751,10523,30.28,
20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-updatedScore.mgf+AF8-Fusion,F257668.dat,257668,34433,10984,31.9,
20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-updatedScore.mgf+AF8-Fusion,F257671.dat,257671,34433,10985,31.9,
20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-updatedScore.mgf+AF8-Fusion,F257672.dat,257672,34467,9945,28.85,
20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-updatedScore.mgf+AF8-Fusion,F257673.dat,257673,34467,9945,28.85,
TP+AF8-HeLa+AF8-200ng+AF8-benchmark+AF8-fbdm+AF8-first.mgf+AF8-Fusion,F257703.dat,257703,27583,16716,60.6,
TP+AF8-HeLa+AF8-200ng+AF8-benchmark+AF8-fbdm+AF8-last.mgf+AF8-Fusion,F257704.dat,257704,27583,640,2.32,
TP+AF8-HeLa+AF8-200ng+AF8-benchmark+AF8-fbdm+AF8-mean.mgf+AF8-Fusion,F257705.dat,257705,27583,543,1.97,
TP+AF8-HeLa+AF8-200ng+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-first.mgf+AF8-Fusion,F257706.dat,257706,27583,16714,60.6,
TP+AF8-HeLa+AF8-200ng+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-last.mgf+AF8-Fusion,F257707.dat,257707,27583,641,2.32,
TP+AF8-HeLa+AF8-200ng+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-mean.mgf+AF8-Fusion,F257708.dat,257708,27583,543,1.97,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-first.mgf+AF8-Fusion,F257850.dat,257850,34335,11314,32.95,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-last.mgf+AF8-Fusion,F257851.dat,257851,34335,274,0.8,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-mean.mgf+AF8-Fusion,F257852.dat,257852,34335,228,0.66,
